0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Type of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Middle Filter Zone ID,Middle Filter Zone Name,Middle Filter Zone Direction (degrees),Middle Filter Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-M-D Traffic (StL Index),Average Daily Origin Zone Traffic (StL Index),Average Daily Middle Filter Zone Traffic (StL Index),Average Daily Destination Zone Traffic (StL Index),Avg Trip Duration (sec)
Personal,,Astoria/77 St,yes,N/A,no,,Astoria Blvd/99 St,102,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),68,33779,14315,7909,502
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),20,146160,44691,64214,198
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),19088,146160,44691,44790,268
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),1777,17369,5052,5123,234
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),4390,31084,10487,10488,339
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),20039,151591,46239,46554,293
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),2312,19752,5968,5966,244
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),5013,33779,11094,11276,365
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),54,146160,44691,36203,251
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),25,31084,10487,8109,228
Personal,,Astoria/77 St,yes,N/A,no,,Ditmars Blvd/31 Ave DMF,153,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),18,151591,46239,36530,273
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),7862,146160,26555,64214,176
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),1: Peak AM (7am-10am),896,17369,3202,8595,171
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),707,31084,4994,11803,235
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Astoria Blvd,yes,108,no,1: Weekday (Tu-Th),0: All Day (12am-12am),7120,151591,27956,62701,182
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Astoria Blvd,yes,108,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),1101,19752,3702,9506,176
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Astoria Blvd,yes,108,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),444,33779,5734,11602,302
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),0: All Day (12am-12am),2933,146160,26555,44790,321
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),1: Peak AM (7am-10am),266,17369,3202,5123,447
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Ditmars Blvd,yes,143,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),1024,31084,4994,10488,351
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),0: All Day (12am-12am),3540,151591,27956,46554,332
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),1: Peak AM (7am-10am),403,19752,3702,5966,411
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Ditmars Blvd,yes,143,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),1456,33779,5734,11276,371
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),33,146160,26555,36203,1522
Personal,,Astoria/77 St,yes,N/A,no,,GCP to 23 Ave/Ditmars,74,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),66,151591,27956,36530,1522
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/108 St DMF,88,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),15,146160,38066,64214,2737
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/108 St DMF,88,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),538,146160,38066,36203,1105
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/108 St DMF,88,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),34,17369,4621,4340,889
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/108 St DMF,88,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),2: Peak PM (4pm-7pm),68,31084,8388,8109,605
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/108 St DMF,88,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),431,151591,38258,36530,895
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/108 St DMF,88,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),2: Peak PM (4pm-7pm),34,33779,8223,7909,607
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/80 St,82,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),30,146160,36373,64214,1732
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/80 St,82,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),43,146160,36373,36203,2001
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/80 St,82,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),26,151591,34862,36530,N/A
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/99 St,82,no,,Astoria Blvd,yes,108,no,0: All Days (M-Su),0: All Day (12am-12am),30,146160,38801,64214,1732
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/99 St,82,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),0: All Day (12am-12am),269,146160,38801,36203,1288
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/99 St,82,no,,Northern Blvd EB,yes,89,no,0: All Days (M-Su),1: Peak AM (7am-10am),19,17369,4314,4340,1112
Personal,,Astoria/77 St,yes,N/A,no,,Northern Blvd/99 St,82,no,,Northern Blvd EB,yes,89,no,1: Weekday (Tu-Th),0: All Day (12am-12am),228,151591,39285,36530,1174
